Name,Medium,Year,Creator
"Darth Vader","Star Wars",1977,"George Lucas"
"Sauron","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Harry Potter","Harry Potter",2001,"J.K. Rowling" 
"Severus Snape","Harry Potter",2001,"J.K. Rowling"
"Gandalf the Grey","Lord of the Rings",2001,"J.R.R. Tolkien"
"Merlin","The Story of King Arthur and His Knights",1903,"Howard Pyle"
"Glinda the Good Witch","The Wonderful Wizard of Oz",1900,"L. Frank Baum"
"Yoda","Star Wars",1977,"George Lucas"
"Darth Maul","Star Wars",1999,"George Lucas"
"Albus Dumbledore","Harry Potter",2001,"J.K. Rowling"
